riga 1080 497139
riga 1110 531921
riga 1140 570022
riga 1170 608441
riga 1200 648829
riga 1230 688591
riga 1260 731604
riga 1290 772034
riga 1320 812831
riga 1350 855886
riga 1380 899321
riga 1410 944758
riga 1440 994782
tallinn 0 0
tallinn 30 324
tallinn 60 648
tallinn 90 972
tallinn 120 2917
tallinn 150 5836
tallinn 180 8755
tallinn 210 11996
tallinn 240 17186
tallinn 270 20755
tallinn 300 23676
tallinn 330 28868
tallinn 360 33087
tallinn 390 38604
tallinn 420 44124
tallinn 450 48020
tallinn 480 53867
tallinn 510 58090
tallinn 540 61989
tallinn 570 67516
tallinn 600 72063
tallinn 630 76614
tallinn 660 81813
tallinn 690 87015
tallinn 720 93521
tallinn 750 98727
tallinn 780 106534
tallinn 810 114682
tallinn 840 121521
tallinn 870 132922
tallinn 900 143361
tallinn 930 154773
tallinn 960 169451
tallinn 990 184461
tallinn 1020 200456
tallinn 1050 219378
tallinn 1080 239307
tallinn 1110 259530
tallinn 1140 282400
tallinn 1170 302964
tallinn 1200 324853
tallinn 1230 348384
tallinn 1260 370595
tallinn 1290 392488
tallinn 1320 418317
tallinn 1350 441522
tallinn 1380 466380
tallinn 1410 491560
tallinn 1440 516723
helsinki 0 0
helsinki 30 322
helsinki 60 2259
helsinki 90 7419
helsinki 120 13862
helsinki 150 23524
helsinki 180 36725
helsinki 210 50867
helsinki 240 71410
helsinki 270 93234
helsinki 300 117900
helsinki 330 141591
helsinki 360 169442
helsinki 390 199814
helsinki 420 227275
helsinki 450 257870
helsinki 480 287814
helsinki 510 319958
helsinki 540 347957
helsinki 570 374689
helsinki 600 397886
helsinki 630 422983
helsinki 660 445528
helsinki 690 462916
helsinki 720 484103
helsinki 750 506338
helsinki 780 528414
helsinki 810 554068
helsinki 840 576883
helsinki 870 605071
helsinki 900 637150
helsinki 930 670498
helsinki 960 705491
helsinki 990 741236
helsinki 1020 780969
helsinki 1050 827388
helsinki 1080 876893
helsinki 1110 941216
helsinki 1140 1004461
helsinki 1170 1082615
helsinki 1200 1161722
helsinki 1230 1240966
helsinki 1260 1322156
helsinki 1290 1403489
helsinki 1320 1477600
helsinki 1350 1558882
helsinki 1380 1632423
helsinki 1410 1700738
helsinki 1440 1771382
stockholm 0 0
stockholm 30 972
stockholm 60 2269
stockholm 90 8105
stockholm 120 18142
stockholm 150 34669
stockholm 180 55074
stockholm 210 87142
stockholm 240 115024
stockholm 270 152997
stockholm 300 189992
stockholm 330 230568
stockholm 360 262705
stockholm 390 302229
stockholm 420 339780
stockholm 450 372124
stockholm 480 400494
stockholm 510 432697
stockholm 540 458037
stockholm 570 487304
stockholm 600 517223
stockholm 630 552685
stockholm 660 592423
stockholm 690 635080
stockholm 720 685442
stockholm 750 741336
stockholm 780 794855
stockholm 810 859896
stockholm 840 930065
stockholm 870 998541
stockholm 900 1069117
stockholm 930 1133378
stockholm 960 1208230
stockholm 990 1286792
stockholm 1020 1364339
stockholm 1050 1439162
stockholm 1080 1524224
stockholm 1110 1599822
stockholm 1140 1682095
stockholm 1170 1765593
stockholm 1200 1842259
stockholm 1230 1939998
stockholm 1260 2023005
stockholm 1290 2122469
stockholm 1320 2226580
stockholm 1350 2345473
stockholm 1380 2456092
stockholm 1410 2590727
stockholm 1440 2707083
oslo 0 0
oslo 30 970
oslo 60 3557
oslo 90 11318
oslo 120 18754
oslo 150 31028
oslo 180 44922
oslo 210 61717
oslo 240 83681
oslo 270 108275
oslo 300 135421
oslo 330 167096
oslo 360 193903
oslo 390 233983
oslo 420 284091
oslo 450 328747
oslo 480 387663
oslo 510 433305
oslo 540 479621
oslo 570 523956
oslo 600 561774
oslo 630 595665
oslo 660 626967
oslo 690 657510
oslo 720 683221
oslo 750 712470
oslo 780 740390
oslo 810 769628
oslo 840 810915
oslo 870 852510
oslo 900 890238
oslo 930 930954
oslo 960 968888
oslo 990 1003572
oslo 1020 1054688
oslo 1050 1098989
oslo 1080 1144878
oslo 1110 1185398
oslo 1140 1220796
oslo 1170 1260952
oslo 1200 1294514
oslo 1230 1333646
oslo 1260 1366097
oslo 1290 1401502
oslo 1320 1440128
oslo 1350 1477188
oslo 1380 1525963
oslo 1410 1580759
oslo 1440 1654106
copenhagen 0 0
copenhagen 30 328
copenhagen 60 3285
copenhagen 90 9201
copenhagen 120 15447
copenhagen 150 26290
copenhagen 180 40074
copenhagen 210 55146
copenhagen 240 75778
copenhagen 270 102295
copenhagen 300 134058
copenhagen 330 166788
copenhagen 360 206355
copenhagen 390 248878
copenhagen 420 293700
copenhagen 450 344514
copenhagen 480 402004
copenhagen 510 473629
copenhagen 540 536726
copenhagen 570 611118
copenhagen 600 689237
copenhagen 630 779913
copenhagen 660 864137
copenhagen 690 952252
copenhagen 720 1032180
copenhagen 750 1114071
copenhagen 780 1203134
copenhagen 810 1289169
copenhagen 840 1385612
copenhagen 870 1479204
copenhagen 900 1576498
copenhagen 930 1683332
copenhagen 960 1781755
copenhagen 990 1877336
copenhagen 1020 1976592
copenhagen 1050 2066754
copenhagen 1080 2158001
copenhagen 1110 2259310
copenhagen 1140 2352266
copenhagen 1170 2442351
copenhagen 1200 2548804
copenhagen 1230 2654260
copenhagen 1260 2770836
copenhagen 1290 2895670
copenhagen 1320 3020328
copenhagen 1350 3165381
copenhagen 1380 3308800
copenhagen 1410 3445082
copenhagen 1440 3596858
amsterdam 0 0
amsterdam 30 331
amsterdam 60 4972
amsterdam 90 9947
amsterdam 120 23879
amsterdam 150 39143
amsterdam 180 60709
amsterdam 210 87598
amsterdam 240 115163
amsterdam 270 143400
amsterdam 300 179625
amsterdam 330 237134
amsterdam 360 305618
amsterdam 390 403726
amsterdam 420 532771
amsterdam 450 678197
amsterdam 480 837570
amsterdam 510 1001588
amsterdam 540 1176253
amsterdam 570 1323621
amsterdam 600 1452750
amsterdam 630 1554807
amsterdam 660 1651588
amsterdam 690 1755617
amsterdam 720 1856594
amsterdam 750 1951519
amsterdam 780 2060396
amsterdam 810 2157586
amsterdam 840 2253518
amsterdam 870 2353038
amsterdam 900 2454864
amsterdam 930 2546041
amsterdam 960 2643856
amsterdam 990 2740089
amsterdam 1020 2824595
amsterdam 1050 2901119
amsterdam 1080 2977712
amsterdam 1110 3047009
amsterdam 1140 3114344
amsterdam 1170 3184419
amsterdam 1200 3264797
amsterdam 1230 3350905
amsterdam 1260 3443610
amsterdam 1290 3527307
amsterdam 1320 3615548
amsterdam 1350 3698321
amsterdam 1380 3780789
amsterdam 1410 3865638
amsterdam 1440 3945417
brussels 0 0
brussels 30 332
brussels 60 4986
brussels 90 16287
brussels 120 33572
brussels 150 56508
brussels 180 86428
brussels 210 122680
brussels 240 175900
brussels 270 246760
brussels 300 343615
brussels 330 467810
brussels 360 605965
brussels 390 775404
brussels 420 935444
brussels 450 1093870
brussels 480 1239220
brussels 510 1365558
brussels 540 1481938
brussels 570 1592610
brussels 600 1702945
brussels 630 1791329
brussels 660 1875987
brussels 690 1946435
brussels 720 2019810
brussels 750 2096775
brussels 780 2182019
brussels 810 2271920
brussels 840 2369436
brussels 870 2468707
brussels 900 2578283
brussels 930 2688114
brussels 960 2788287
brussels 990 2885437
brussels 1020 2976569
brussels 1050 3060762
brussels 1080 3137619
brussels 1110 3215094
brussels 1140 3298307
brussels 1170 3377246
brussels 1200 3465877
brussels 1230 3553860
brussels 1260 3645201
brussels 1290 3727907
brussels 1320 3805947
brussels 1350 3886590
brussels 1380 3953601
brussels 1410 4032899
brussels 1440 4109541
rome 0 0
rome 30 0
rome 60 1332
rome 90 5330
rome 120 10662
rome 150 18658
rome 180 31325
rome 210 48999
rome 240 71343
rome 270 100364
rome 300 140059
rome 330 179753
rome 360 216107
rome 390 254469
rome 420 289147
rome 450 321171
rome 480 356527
rome 510 394214
rome 540 423566
rome 570 458923
rome 600 489612
rome 630 530968
rome 660 570993
rome 690 624338
rome 720 692349
rome 750 760006
rome 780 835987
rome 810 919274
rome 840 1010869
rome 870 1101437
rome 900 1208006
rome 930 1302234
rome 960 1415392
rome 990 1519230
rome 1020 1629318
rome 1050 1744103
rome 1080 1843220
rome 1110 1940099
rome 1140 2034974
rome 1170 2127511
rome 1200 2217075
rome 1230 2303915
rome 1260 2393415
rome 1290 2471202
rome 1320 2549959
rome 1350 2623721
rome 1380 2708696
rome 1410 2799330
rome 1440 2884346
madrid 0 0
madrid 30 0
madrid 60 1330
madrid 90 4323
madrid 120 13300
madrid 150 22610
madrid 180 42232
madrid 210 74832
madrid 240 111069
madrid 270 159593
madrid 300 215107
madrid 330 269605
madrid 360 334412
madrid 390 400567
madrid 420 452406
madrid 450 509581
madrid 480 563142
madrid 510 610709
madrid 540 657651
madrid 570 707603
madrid 600 753576
madrid 630 802902
madrid 660 857562
madrid 690 908247
madrid 720 969255
madrid 750 1032265
madrid 780 1108285
madrid 810 1190939
madrid 840 1292251
madrid 870 1378233
madrid 900 1474178
madrid 930 1565755
madrid 960 1647651
madrid 990 1728862
madrid 1020 1797721
madrid 1050 1864242
madrid 1080 1939008
madrid 1110 2013747
madrid 1140 2082511
madrid 1170 2136618
madrid 1200 2187100
madrid 1230 2226960
madrid 1260 2269814
madrid 1290 2310009
madrid 1320 2344535
madrid 1350 2382087
madrid 1380 2422942
madrid 1410 2475104
madrid 1440 2530942
berlin 0 0
berlin 30 662
berlin 60 7289
berlin 90 24523
berlin 120 46726
berlin 150 87488
berlin 180 141494
berlin 210 204456
berlin 240 264442
berlin 270 331741
berlin 300 393759
berlin 330 471417
berlin 360 548456
berlin 390 635803
berlin 420 733109
berlin 450 833419
berlin 480 935096
berlin 510 1034736
berlin 540 1138023
berlin 570 1229389
berlin 600 1313378
berlin 630 1419311
berlin 660 1526911
berlin 690 1641461
berlin 720 1769651
berlin 750 1906889
berlin 780 2041676
berlin 810 2175100
berlin 840 2324079
berlin 870 2465390
berlin 900 2612033
berlin 930 2751397
berlin 960 2893697
berlin 990 3018981
berlin 1020 3134295
berlin 1050 3248538
berlin 1080 3347542
berlin 1110 3445350
berlin 1140 3532044
berlin 1170 3615223
berlin 1200 3700589
berlin 1230 3773552
